Ranking,Player Name,Team,Weight
550, Haywood Highsmith, Philadelphia 76ers,1.07
550, Aubrey Dawkins, New Orleans Pelicans,1.07
550, Dean Wade, Cleveland Cavaliers,1.07
550, Christ Koumadje, Philadelphia 76ers,1.07
550, Charlie Brown, Atlanta Hawks,1.07
550, Armoni Brooks, Atlanta Hawks,1.07
550, Ahmed Hill, Charlotte Hornets,1.07
550, Adam Mokoka, Chicago Bulls,1.07
550, Amida Brimah, Indiana Pacers,1.07
550, Alex Robinson, Cleveland Cavaliers,1.07
550, James Palmer Jr., Los Angeles Clippers,1.07
550, JaKeenan Grant, Indiana Pacers,1.07
550, Kenny Wooten, New York Knicks,1.07
550, Kavell Bigby-Williams, New Orleans Pelicans,1.07
550, Juwan Morgan, Utah Jazz,1.07
550, Max Strus, Boston Celtics,1.07
550, London Perrantes, Portland Trail Blazers,1.07
550, Lindell Wigginton, Minnesota Timberwolves,1.07
550, Lamar Peters, New York Knicks,1.07
550, Vic Law, Orlando Magic,1.07
550, V.J. King, New York Knicks,1.07
527, Dedric Lawson, San Antonio Spurs,1.14
527, Amir Hinton, New York Knicks,1.14
527, Dakota Mathias, Dallas Mavericks,1.14
527, Hassani Gravett, Orlando Magic,1.14
527, Devon Hall, Oklahoma City Thunder,1.14
527, Louis King, Detroit Pistons,1.14
527, Javonte Green, Boston Celtics,1.14
527, Jaylen Hoard, Portland Trail Blazers,1.14
527, Isaiah Miles, Philadelphia 76ers,1.14
527, Jarrell Brantley, Utah Jazz,1.14
527, Kelan Martin, Minnesota Timberwolves,1.14
527, Kaiser Gates, Boston Celtics,1.14
527, Josh Gray, New Orleans Pelicans,1.14
527, Jordan Murphy, Minnesota Timberwolves,1.14
527, Jeremiah Martin, Miami Heat,1.14
527, Stanton Kidd, Utah Jazz,1.14
527, Luke Maye, Milwaukee Bucks,1.14
527, Rayjon Tucker, Milwaukee Bucks,1.14
527, Mychal Mulder, Miami Heat,1.14
527, Luguentz Dort, Oklahoma City Thunder,1.14
527, Kyle Alexander, Miami Heat,1.14
527, Terry Larrier, Los Angeles Clippers,1.14
527, Phil Booth, Washington Wizards,1.14
522, Deng Adell, Brooklyn Nets,1.2
522, J.P. Macura, Cleveland Cavaliers,1.2
522, Donte Grantham, Los Angeles Clippers,1.2
522, Joe Chealey, Charlotte Hornets,1.2
522, Troy Caupain, Portland Trail Blazers,1.2
508, Daulton Hommes, San Antonio Spurs,1.21
508, Chris Silva, Miami Heat,1.21
508, Devontae Cacok, Los Angeles Lakers,1.21
508, Jared Harper, Phoenix Suns,1.21
508, Isaiah Pineiro, Sacramento Kings,1.21
508, Jordan Caroline, Los Angeles Lakers,1.21
508, Josh Reaves, Dallas Mavericks,1.21
508, Ky Bowman, Golden State Warriors,1.21
508, William Howard, Utah Jazz,1.21
508, William McDowell-White, Free Agent,1.21
508, Robert Franks, Charlotte Hornets,1.21
508, Tyler Cook, Denver Nuggets,1.21
508, Sagaba Konate, Toronto Raptors,1.21
508, Wenyen Gabriel, Sacramento Kings,1.21
503, Garrison Mathews, Washington Wizards,1.21
503, Amir Coffey, Los Angeles Clippers,1.21
503, Moses Brown, Portland Trail Blazers,1.21
503, Matt Mooney, Memphis Grizzlies,1.21
503, Zylan Cheatham, New Orleans Pelicans,1.21
502, Isaac Humphries, Orlando Magic,1.27
501, Ray Spalding, Houston Rockets,1.27
500, Antonius Cleveland, Dallas Mavericks,1.29
493, Dewan Hernandez, Toronto Raptors,1.29
493, Jalen McDaniels, Charlotte Hornets,1.29
493, Jalen Adams, New Orleans Pelicans,1.29
493, Jordan McLaughlin, Minnesota Timberwolves,1.29
493, Justin Wright-Foreman, Utah Jazz,1.29
493, Norvell Pelle, Philadelphia 76ers,1.29
493, Michael Frazier, Houston Rockets,1.29
492, Marial Shayok, Philadelphia 76ers,1.29
491, Udonis Haslem, Miami Heat,1.33
490, Marcus Derrickson, Atlanta Hawks,1.33
487, Caleb Martin, Charlotte Hornets,1.36
487, Vlatko Cancar, Denver Nuggets,1.36
487, Tyus Battle, Minnesota Timberwolves,1.36
484, Jaylen Nowell, Minnesota Timberwolves,1.36
484, Devyn Marble, Golden State Warriors,1.36
484, Trevon Bluiett, Utah Jazz,1.36
483, DaQuan Jeffries, Orlando Magic,1.36
481, Duncan Robinson, Miami Heat,1.4
481, Daniel Hamilton, Cleveland Cavaliers,1.4
480, Yante Maten, Boston Celtics,1.4
477, Chris Clemons, Houston Rockets,1.43
477, Isaiah Roby, Dallas Mavericks,1.43
477, Josh Perkins, Charlotte Hornets,1.43
472, Zach Norvell, Los Angeles Lakers,1.43
472, Jalen Lecque, Phoenix Suns,1.43
472, Jaylen Hands, Brooklyn Nets,1.43
472, Josh Magette, Orlando Magic,1.43
472, Oshae Brissett, Toronto Raptors,1.43
470, Jordan Bone, Detroit Pistons,1.43
470, Miye Oni, Utah Jazz,1.43
464, Kostas Antetokounmpo, Los Angeles Lakers,1.47
464, Edmond Sumner, Indiana Pacers,1.47
464, Amile Jefferson, Orlando Magic,1.47
464, Drew Eubanks, San Antonio Spurs,1.47
464, Brandon Goodwin, Atlanta Hawks,1.47
464, P.J. Dozier, Denver Nuggets,1.47
463, Justin James, Sacramento Kings,1.5
460, Quinndary Weatherspoon, San Antonio Spurs,1.5
460, Kendrick Nunn, Miami Heat,1.5
460, Naz Reid, Minnesota Timberwolves,1.5
459, Tremont Waters, Boston Celtics,1.5
457, John Konchar, Memphis Grizzlies,1.5
457, Terence Davis, Toronto Raptors,1.5
456, Kobi Simmons, Charlotte Hornets,1.53
455, Demetrius Jackson, Los Angeles Lakers,1.53
453, Theo Pinson, Brooklyn Nets,1.53
453, Thomas Welsh, Charlotte Hornets,1.53
450, Cody Martin, Charlotte Hornets,1.57
450, Brian Bowen, Indiana Pacers,1.57
450, Justin Robinson, Washington Wizards,1.57
449, Admiral Schofield, Washington Wizards,1.57
447, Marques Bolden, Cleveland Cavaliers,1.57
447, Shamorie Ponds, Houston Rockets,1.57
444, Devin Robinson, Toronto Raptors,1.6
444, Jemerrio Jones, Washington Wizards,1.6
444, Malcolm Miller, Toronto Raptors,1.6
443, Melvin Frazier, Orlando Magic,1.6
441, Marko Guduric, Memphis Grizzlies,1.64
441, Nigel Williams-Goss, Utah Jazz,1.64
440, Matt Thomas, Toronto Raptors,1.64
437, Jaylen Adams, Milwaukee Bucks,1.67
437, Cameron Reynolds, Milwaukee Bucks,1.67
437, Isaac Bonga, Washington Wizards,1.67
435, Davon Reed, Miami Heat,1.67
435, Naz Mitrou-Long, Indiana Pacers,1.67
434, Johnathan Motley, Los Angeles Clippers,1.67
433, Deonte Burton, Oklahoma City Thunder,1.67
432, Isaiah Taylor, Toronto Raptors,1.71
431, Kyle Guy, Sacramento Kings,1.71
429, Kadeem Allen, New York Knicks,1.73
429, Caleb Swanigan, Sacramento Kings,1.73
428, Yuta Watanabe, Memphis Grizzlies,1.73
427, Mfiondu Kabengele, Los Angeles Clippers,1.79
425, KZ Okpala, Miami Heat,1.79
425, Thanasis Antetokounmpo, Milwaukee Bucks,1.79
424, Terance Mann, Los Angeles Clippers,1.79
423, Henry Ellenson, Brooklyn Nets,1.8
422, Andrew Harrison, Golden State Warriors,1.8
420, Tacko Fall, Boston Celtics,1.8
420, Justin Patton, Oklahoma City Thunder,1.8
419, Chimezie Metu, San Antonio Spurs,1.8
417, Alen Smailagic, Golden State Warriors,1.86
417, C.J. Wilcox, Indiana Pacers,1.86
416, Nicolas Claxton, Brooklyn Nets,1.86
414, Darius Bazley, Oklahoma City Thunder,1.86
414, Daniel Gafford, Chicago Bulls,1.86
413, Vincent Poirier, Boston Celtics,1.86
411, Isaiah Hartenstein, Houston Rockets,1.87
411, Jordan McRae, Washington Wizards,1.87
410, Cameron Payne, Toronto Raptors,1.87
408, Eric Moreland, Oklahoma City Thunder,1.87
408, Alize Johnson, Indiana Pacers,1.87
407, Tony Bradley, Utah Jazz,1.87
406, Talen Horton-Tucker, Los Angeles Lakers,1.87
403, Jarell Martin, Cleveland Cavaliers,1.93
403, Damion Lee, Golden State Warriors,1.93
403, Jordan Poole, Golden State Warriors,1.93
401, Chris Boucher, Toronto Raptors,1.93
401, Anthony Bennett, Houston Rockets,1.93
399, Brad Wanamaker, Boston Celtics,1.93
399, Dzanan Musa, Brooklyn Nets,1.93
398, Ben McLemore, Houston Rockets,2
396, Jerome Robinson, Los Angeles Clippers,2
396, Tyler Lydon, Sacramento Kings,2
394, Eric Paschall, Golden State Warriors,2
394, Shake Milton, Philadelphia 76ers,2
393, Keldon Johnson, San Antonio Spurs,2
392, Nicolo Melli, New Orleans Pelicans,2
391, Dragan Bender, Milwaukee Bucks,2.07
389, Abdel Nader, Oklahoma City Thunder,2.07
389, Ignas Brazdeikis, New York Knicks,2.07
387, Jevon Carter, Phoenix Suns,2.07
387, Miles Plumlee, Memphis Grizzlies,2.07
386, Luka Samanic, San Antonio Spurs,2.07
385, Gary Trent, Portland Trail Blazers,2.07
384, Khyri Thomas, Detroit Pistons,2.07
383, JaKarr Sampson, Indiana Pacers,2.13
382, Jacob Evans, Golden State Warriors,2.13
381, Frank Mason, Milwaukee Bucks,2.13
380, Bol Bol, Denver Nuggets,2.13
379, Tyrone Wallace, Minnesota Timberwolves,2.13
378, Dylan Windler, Cleveland Cavaliers,2.14
377, Chuma Okeke, Orlando Magic,2.14
376, Cristiano Felicio, Chicago Bulls,2.2
375, Ryan Broekhoff, Dallas Mavericks,2.2
374, Devonte’ Graham, Charlotte Hornets,2.2
373, Jarred Vanderbilt, Denver Nuggets,2.2
372, Grayson Allen, Memphis Grizzlies,2.27
371, Elie Okobo, Phoenix Suns,2.27
370, Sekou Doumbouya, Dallas Mavericks,2.27
368, Gary Clar, Houston Rockets,2.27
368, Keita Bates-Diop, Minnesota Timberwolves,2.27
367, Sviatoslav Mykhailiuk, Detroit Pistons,2.27
366, Sindarius Thornwell, Cleveland Cavaliers,2.33
365, Josh Jackson, Memphis Grizzlies,2.33
362, Shaquille Harrison, Chicago Bulls,2.33
362, Bruno Fernando, Atlanta Hawks,2.33
361, Ian Mahinmi, Washington Wizards,2.4
359, Ivan Rabb, Memphis Grizzlies,2.4
359, Damian Jones, Atlanta Hawks,2.4
358, Hamidou Diallo, Oklahoma City Thunder,2.4
357, Treveon Graham, Minnesota Timberwolves,2.4
356, Nene, Houston Rockets,2.47
354, Goga Bitadze, Indiana Pacers,2.47
354, Kevin Porter, Cleveland Cavaliers,2.47
353, Joe Johnson, Detroit Pistons,2.47
352, Carsen Edwards, Boston Celtics,2.47
351, Nassir Little, Portland Trail Blazers,2.47
349, T.J. Leaf, Indiana Pacers,2.53
349, Skal Labissiere, Portland Trail Blazers,2.53
348, Justin Anderson, Washington Wizards,2.53
347, Bismack Biyombo, Charlotte Hornets,2.53
345, Troy Brown, Washington Wizards,2.53
345, Bruno Caboclo, Memphis Grizzlies,2.53
343, Romeo Langford, Boston Celtics,2.53
343, Michael Beasley, Detroit Pistons,2.53
342, Omari Spellman, Golden State Warriors,2.53
341, Kenrich Williams, New Orleans Pelicans,2.53
340, PJ Washington, Charlotte Hornets,2.57
338, Solomon Hill, Memphis Grizzlies,2.6
338, Glenn Robinson III, Golden State Warriors,2.6
337, Ty Jerome, Phoenix Suns,2.64
336, Frank Jackson, New Orleans Pelicans,2.67
335, Tim Frazier, Detroit Pistons,2.67
331, Troy Daniels, Los Angeles Lakers,2.67
331, Christian Wood, Detroit Pistons,2.67
331, Chandler Parsons, Atlanta Falcons,2.67
331, Donte DiVincenzo, Milwaukee Bucks,2.67
330, Michael Carter-Williams, Orlando Magic,2.67
328, De’Anthony Melton, Memphis Grizzlies,2.67
328, Matthew Dellavedova, Cleveland Cavaliers,2.67
327, Wes Iwundu, Orlando Magic,2.67
326, Luke Kornet, Chicago Bulls,2.67
325, Dwayne Bacon, Charlotte Hornets,2.67
324, Brandon Knight, Cleveland Cavaliers,2.73
321, Jonah Bolden, Philadelphia 76ers,2.73
321, Patrick McCaw, Toronto Raptors,2.73
321, Semi Ojeleye, Boston Celtics,2.73
319, Vince Carter, Atlanta Hawks,2.73
319, Chandler Hutchison, Chicago Bulls,2.73
318, Cheick Diallo, Phoenix Suns,2.73
317, Georges Niang, Utah Jazz,2.73
316, Furkan Korkmaz, Philadelphia 76ers,2.73
315, Raul Neto, Philadelphia 76ers,2.8
314, Emmanuel Mudiay, Utah Jazz,2.8
311, Patrick Patterson, Los Angeles Clippers,2.8
311, Ante Zizic, Cleveland Cavaliers,2.8
311, Pau Gasol, Portland Trail Blazers,2.8
310, Damyean Dotson, New York Knicks,2.8
308, Mike Muscala, Oklahoma City Thunder,2.87
308, Cameron Johnson, Phoenix Suns,2.87
306, Jahlil Okafor, New Orleans Pelicans,2.87
306, Yogi Ferrell, Sacramento Kings,2.87
305, John Henson, Cleveland Cavaliers,2.87
304, Ryan Arcidiacono, Chicago Bulls,2.87
303, Grant Williams, Boston Celtics,2.87
302, Quinn Cook, Los Angeles Lakers,2.93
301, David Nwaba, Brooklyn Nets,2.93
300, Derrick Jones Jr., Miami Heat,2.93
299, Frank Kaminsky, Phoenix Suns,2.93
298, Matisse Thybulle, Philadelphia 76ers,2.93
297, Alfonzo McKinnie, Golden State Warriors,3
296, Tyson Chandler, Houston Rockets,3
295, Kyle O’Quinn, Philadelphia 76ers,3
294, Danuel House, Houston Rockets,3
292, Zhaire Smith, Philadelphia 76ers,3
292, Robert Williams III, Boston Celtics,3
291, Thon Maker, Detroit Pistonsn,3.07
288, Langston Galloway, Detroit Pistons,3.07
288, DeAndre’ Bembry, Atlanta Hawks,3.07
288, Trey Lyles, San Antonio Spurs,3.07
286, T.J. McConnell, Indiana Pacers,3.07
286, Denzel Valentine, Chicago Bulls,3.07
284, Darius Miller, New Orleans Pelicans,3.07
284, Jordan Bell, Minnesota Timberwolves,3.07
283, Sterling Brown, Milwaukee Bucks,3.07
282, Gerald Green, Houston Rockets,3.07
281, Jake Layman, Minnesota Timberwolves,3.07
280, Jaxson Hayes, New Orleans Pelicans,3.07
278, Anfernee Simons, Portland Trail Blazers,3.07
278, Rodions Kurucs, Brooklyn Nets,3.07
277, Cam Reddish, Atlanta Hawks,3.07
276, Mario Hezonja, Portland Trail Blazers,3.13
272, Gorgui Dieng, Minnesota Timberwolves,3.13
272, J.J. Barea, Dallas Mavericks,3.13
272, Courtney Lee, Dallas Mavericks,3.13
272, Trey Burke, Philadelphia 76ers,3.13
270, Stanley Johnson, Toronto Raptors,3.13
270, Shabazz Napier, Minnesota Timberwolves,3.13
269, Dillon Brooks, Memphis Grizzlies,3.13
268, CJ Miles, Washington Wizards,3.13
267, Rui Hachimura, Washington Wizards,3.13
265, Evan Turner, Atlanta Hawks,3.2
265, Alex Caruso, Los Angeles Lakers,3.2
264, Justin Jackson, Dallas Mavericks,3.2
263, D.J. Wilson, Milwaukee Bucks,3.2
262, Tony Snell, Detroit Pistons,3.2
261, Lonnie Walker IV, San Antonio Spurs,3.2
260, Justin Holiday, Indiana Pacers,3.27
257, Antony Tolliver, Portland Trail Blazers,3.27
257, Doug McDermott, Indiana Pacers,3.27
257, Wilson Chandler, Brooklyn Nets,3.27
256, Isaiah Thomas, Washington Wizards,3.27
255, Rodney McGruder, Los Angeles Clippers,3.27
254, Tyler Herro, Miami Heat,3.27
253, Khem Birch, Orlando Magic,3.27
252, Bruce Brown, Detroit Pistons,3.27
251, Meyers Leonard, Miami Heat,3.33
250, Rondae Hollis-Jefferson, Toronto Raptors,3.33
247, Kris Dunn, Chicago Bulls,3.33
247, James Ennis III, Philadelphia 76ers,3.33
247, Frank Ntilikina, New York Knicks,3.33
246, Nickeil Alexander-Walker, New Orleans Pelicans,3.33
244, Avery Bradley, Los Angeles Lakers,3.4
244, Allonzo Trier, New York Knicks,3.4
242, Rajon Rondo, Los Angeles Lakers,3.4
242, Aaron Holiday, Indiana Pacers,3.4
241, Kyle Korver, Milwaukee Bucks,3.4
240, Alec Burks, Golden State Warriors,3.4
238, Pat Connaughtonn, Milwaukee Bucks,3.47
238, Mike Scott, Philadelphia 76ers,3.47
237, Jared Dudley, Los Angeles Lakers,3.47
236, Coby White, Chicago Bulls,3.47
235, Daniel Theis, Boston Celtics,3.47
234, Kevin Knox, New York Knicks,3.47
233, Michael Porter Jr., Denver Nuggets,3.47
232, Dante Exum, Utah Jazz,3.53
230, Dorian Finney-Smith, Dallas Mavericks,3.53
230, Marco Belinelli, San Antonio Spurs,3.53
229, Jalen Brunson, Dallas Mavericks,3.53
228, Malik Monk, Charlotte Hornets,3.53
227, Terrance Ferguson, Oklahoma City Thunder,3.53
226, Jabari Parker, Atlanta Hawks,3.53
225, Markelle Fultz, Orlando Magic,3.53
223, Wayne Ellington, New York Knicks,3.6
223, Boban Marjanovic, Dallas Mavericks,3.6
222, Willy Hernangomez, Charlotte Hornets,3.6
219, Ersan Ilyasova, Milwaukee Bucks,3.6
219, Ish Smith, Washington Wizards,3.6
219, De’Andre Hunter, Atlanta Hawks,3.6
216, Mohamed Bamba, Orlando Magic,3.6
216, Garrett Temple, Brooklyn Nets,3.6
T21,  Wesley Matthews, Milwaukee Bucks,3.6
215, Torrey Craig, Denver Nuggets,3.6
214, Allen Crabbe, Atlanta Hawks,3.67
213, Jeff Green, Utah Jazz,3.67
212, Brandon Clarke, Memphis Grizzlies,3.67
211, Richaun Holmes, Sacramento Kings,3.67
210, Juancho Hernangomez, Denver Nuggeets,3.67
209, Harry Giles III, Sacramento Kings,3.67
208, Michael Kidd-Gilchrist, Charlotte Hornets,3.73
207, Elfrid Payton, New York Knicks,3.73
206, Nerlens Noel, Oklahoma City Thunder,3.73
205, Jarrett Culver, Minnesota Timberwolves,3.73
204, Dion Waiters, Miami Heat,3.73
202, Jordan Clarkson, Cleveland Cavaliers,3.8
202, Alex Len, Atlanta Hawks,3.8
201, Ivica Zuubac, Los Angeles Clippers,3.8
200, Josh Okogie, Minnesota Timberwolves,3.8
199, Darius Garland, Cleveland Cavaliers,3.8
198, Robin Lopez, Milwaukee Bucks,3.87
197, Reggie Bullock, New York Knicks,3.87
195, Tyler Johnson, Phoenix Suns,3.87
195, Cory Joseph, Sacramento Kings,3.87
194, Taj Gibson, New York Knicks,3.87
193, JaMychal Green, Los Angeles Clippers,3.87
192, Norman Powell, Toronto Raptors,3.93
190, Noah Vonleh, Minnesota Timberwolves,3.93
190, Ed Davis, Utah Jazz,3.93
189, Trevor Ariza, Sacramento Kings,3.93
188, DeMarre Carroll, San Antonio Spurs,3.93
186, Dennis Schroder, Oklahoma City Thunder,4
186, Derrick Rose, Detroit Pistons,4
185, Kentavious Caldwell-Pope, Los Angeles Lakers,4
183, Tyus Jones, Memphis Grizzlies,4
183, JaVale McGee, Los Angeles Lakers,4
182, Austin Rivers, Houston Rockets,4
181, Royce O’Neale, Utah Jazz,4
180, Josh Hart, New Orleans Pelicans,4.07
179, Dwight Howard, Los Angeles Lakers,4.07
178, E’Twaun Moore, New Orleans Pelicans,4.07
177, RJ Barrett, New York Knicks,4.07
176, Dennis Smith Jr., New York Knicks,4.13
175, Maurice Harkless, Los Angeles Clippers,4.13
174, Cedi Osman, Cleveland Cavaliers,4.13
173, Kent Bazemore, Portland Trail Blazers,4.13
171, George Hill, Milwaukee Bucks,4.2
171, Seth Curry, Dallas Mavericks,4.2
170, James Johnson, Miami Heat,4.2
169, Rodney Hood, Portland Trail Blazers,4.27
167, Dwight Powell, Dallas Mavericks,4.27
167, Bobby Portis, New York Knicks,4.27
166, Maxi Kleber, Dallas Mavericks,4.27
165, Patty Mills, San Antonio Spurs,4.27
164, Tristan Thompson, Cleveland Cavaliers,4.33
163, Tim Hardaway Jr., Dallas Mavericks,4.4
162, Terry Rozier, Charlotte Hornets,4.4
161, Kelly Olynyk, Miami Heat,4.4
159, Taurean Prince, Brooklyn Nets,4.4
159, Bryn Forbes, San Antonio Spurs,4.4
158, Ja Morant, Memphis Grizzlies,4.4
157, Markieff Morris, Detroit Pistons,4.4
156, Luke Kennard, Detroit Pistos,4.4
155, Miles Bridges, Charlotte Hornets,4.4
154, Andre Roberson, Oklahoma City Thunder,4.47
153, Enes Kanter, Boston Celtics,4.47
152, Jakob Poeltl, San Antonio Spurs,4.47
151, Mason Plumlee, Denver Nuggets,4.47
149, Jae Crowder, Memphis Grizzlies,4.53
149, Kelly Oubre Jr., Phoenix Suns,4.53
148, Davis Bertans, Washington Wizards,4.53
147, Aron Baynes, Phoenix Suns,4.53
146, Kyle Anderson, Memphis Grizzlies,4.53
145, Malik Beasley, Denver Nuggets,4.53
144, Will Barton, Denver Nuggets,4.6
143, Kevin Huerter, Atlanta Hawks,4.6
142, Marvin Williams, Charlotte Hornets,4.67
141, Thomas Bryant, Washington Wizards,4.67
140, Nemanja Bjelica, Sacramento Kings,4.67
139, Collin Sexton, Cleveland Cavaliers,4.67
137, OG Anunoby, Toronto Raptors,4.73
137, Zach Collins, Portland Trail Blazers,4.73
136, Andrew Wiggins, Minnesota Timberwolves,4.73
135, Nicolas Batum, Charlotte Hornets,4.8
134, Delon Wright, Dallas Mavericks,4.8
133, Willie Cauley-Stein, Golden State Warriors,4.8
132, Terrence Ross, Orlando Magic,4.8
131, Mikal Bridges, Phoenix Suns,4.8
130, DeAndre Jordan, Brooklyn Nets,4.8
129, Cody Zeller, Charlotte Hornets,4.87
128, Wendell Carter Jr., Chicago Bulls,4.87
126, Monte Morris, Denver Nuggets,4.87
126, Jeff Teague, Minnesota Timberwolves,4.87
125, Larry Nance Jr., Cleveland Cavaliers,4.87
124, D.J. Augustin, Orlando Magic,4.93
123, Jeremy Lamb, Indiana Pacers,4.93
122, Reggie Jackson, Detroit Pistons,4.93
121, Landry Shamet, Los Angeles Clippers,4.93
119, Kyle Kuzma, Los Angeles Lakers,5
119, Hassan Whiteside, Portland Trail Blazers,5
118, Harrison Barnes, Sacramento Kings,5
117, TJ Warren, Indiana Pacers,5
116, Marcus Morris, New York Kicks,5
115, Jonathan Isaac, Orlando Magic,5
114, Serge Ibaka, Toronto Raptors,5.07
113, DeMarcus Cousins, Los Angeles Lakers,5.07
112, Dario Saric, Phoenix Suns,5.13
111, Jerami Grant, Denver Nuggets,5.2
110, Tomas Satoranksy, Chicago Bulls,5.2
108, Dewayne Dedmon, Sacramento Kings,5.27
108, Rudy Gay, San Antonio Spurs,5.27
107, Andre Iguodala, Memphis Grizzlies,5.27
104, Joe Harris, Brooklyn Nets,5.33
104, Jonas Valanciunas, Memphis Grizzlies,5.33
104, Fred VanVleet, Toronto Raptors,5.33
103, Evan Fournier, Orlando Magic,5.33
102, Thaddeus Young, Chicago Bulls,5.33
101, Derrick White, San Antonio Spurs,5.33
100, Kevon Looney, Golden State Warriors,5.4
99, Al-Farouq Aminu, Orlando Magic,5.47
98, Lonzo Ball, New Orleans Pelicans,5.47
97, Goran Dragic, Miami Heat,5.53
96, Ricky Rubio, Phoenix Suns,5.6
95, Gordon Hayward, Boston Celtics,5.6
94, Bogdan Bogdanovic, Sacramento Kings,5.6
93, Brandon Ingram, New Orleans Pelicans,5.67
92, Dejounte Murray, San Antonio Spurs,5.67
91, Justise Winslow, Miami Heat,5.67
90, Patrick Beverley, Los Angeles Clippers,5.73
89, JJ Redick, New Orleans Pelicans,5.8
88, Shai Gilgeous-Alexander, Oklahoma City Thunder,5.8
87, Danny Green, Los Angeles Lakers,5.87
86, Mitchell Robinson, New York Knicks,5.87
83, Spencer Dinwiddie, Brooklyn Nets,5.93
83, Derrick Favors, New Orleans Pelicans,5.93
83, Jaylen Brown, Boston Celtics,5.93
82, Jarrett Allen, Brooklyn Nets,5.93
81, Marvin Bagley III, Sacramento Kings,5.93
80, Eric Gordon, Houston Rockets,6
79, Lou Williams, Los Angeles Clippers,6
78, PJ Tucker, Houston Rockets,6.07
77, Robert Covington, Minnesota Timberwolves,6.07
76, Bam Adebayo, Miami Heat,6.13
74, Domantas Sabonis, Indiana Pacers,6.13
74, Marcus Smart, Boston Celtics,6.13
73, Montrezl Harrell, Los Angeles Clippers,6.13
72, Josh Richardson, Philadelphia 76ers,6.27
71, Caris LeVert, Brooklyn Nets,6.33
70, Bojan Bogdanovic, Utah Jazz,6.4
69, Eric Bledsoe, Milwaukee Bucks,6.4
68, Jaren Jackson Jr., Memphis Grizzlies,6.4
67, Steven Adams, Oklahoma City Thunder,6.47
66, Gary Harris, Denver Nuggets,6.53
65, Marc Gasol, Toronto Raptors,6.53
63, Otto Porter Jr., Chicago Bulls,6.53
63, Brook Lopez, Milwaukee Bucks,6.53
61, Zach LaVine, Chicago Bulls,6.53
61, Zion Williamson, New Orleans Pelicans,6.53
60, Joe Ingles, Utah Jazz,6.6
58, Deandre Ayton, Phoenix Suns,6.6
58, Julius Randle, New York Knicks,6.6
57, Malcolm Brogdon, Indiana Pacers,6.67
56, Paul Millsap, Denver Nuggets,6.67
55, Lauri Markkanen, Chicago Bulls,6.67
54, Buddy Hield, Sacramento Kings,6.8
53, Jusuf Nurkic, Portland Trail Blazers,6.8
52, John Wall, Washington Wizards,6.8
51, Clint Capela, Houston Rockets,6.93
50, Jayson Tatum, Boston Celtics,6.93
49, John Collins, Atlanta Hawks,6.93
48, Myles Turner, Indiana Pacers,7
47, Trae Young, Atlanta Hawks,7
46, Aaron Gordon, Orlando Magic,7.07
45, D’Angelo Russell, Golden State Warriors,7.13
44, DeMar DeRozan, San Antonio Spurs,7.2
43, Danilo Gallinari, Oklahoma City Thunder,7.2
42, Tobias Harris, Philadelphia 76ers,7.27
41, Jamal Murray, Denver Nuggets,7.33
40, Kevin Love, Cleveland Cavaliers,7.47
39, Kristaps Porzingis, Dallas Mavericks,7.47
37, LaMarcus Aldridge, San Antonio Spurs,7.53
37, Donovan Mitchell, Utah Jazz,7.53
36, Mike Conley, Utah Jazz,7.6
35, De’Aaron Fox, Sacramento Kings,7.6
34, CJ McCollum, Portland Trail Blazers,7.67
33, Khris Middleton, Milwaukee Bucks,7.73
32, Nikola Vucevic, Orlando Magic,7.8
31, Chris Paul, Oklahoma City Thunder,7.8
30, Andre Drummond, Detroit Pistons,7.8
29, Devin Booker, Phoenix Suns,7.87
28, Kyle Lowry, Toronto Raptors,7.93
27, Pascal Siakam, Toronto Raptors,8
25, Al Horford, Philadelphia 76ers,8.07
25, Jrue Holiday, New Orleans Pelicans,8.07
24, Luka Doncic, Dallas Mavericks,8.13
23, Victor Oladipo, Indiana Pacers,8.2
22, Klay Thompson, Golden State Warriors,8.4
21, Draymod Green, Golden State Warriors,8.53
20, Kemba Walker, Boston Celtics,8.67
19, Bradley Beal, Washington Wizards,8.8
18, Russell Westbrook, Houston Rockets,8.8
16, Kyrie Irving, Brooklyn Nets,8.87
16, Ben Simmons, Philadelphia 76ers,8.87
15, Blake Griffin, Detroit Pistons,8.93
13, Rudy Gobert, Utah Jazz,9.07
13, Jimmy Butler, Miami Heat,9.07
12, Karl-Anthony Towns, Minnesota Timberwolves,9.47
11, Paul George, Los Angeles Clippers,9.67
10, Damian Lillard, Portland Trail Blazers,9.93
9, Joel Embiid, Philadelphia 76ers,10.07
8, Nikola Jokic, Denver Nuggets,10.47
7, Kevin Durant, Brooklyn Nets,10.6
6, Anthony Davis, Los Angeles Lakers,10.67
5, LeBron James, Los Angeles Lakers,10.8
4, James Harden, Houston Rockets,11
3, Kawhi Leonard, Los Angeles Clippers,11.13
2, Stephen Curry, Golden State Warriors,11.2
1, Giannis Antetokounmpo, Milwaukee Bucks,11.53
